Highest,Lowest,Mean,Stdev
196.377094733236,-8.08923495080492,10.8989925811894,41.6364931614026
321.322668465033,-8.06312513612955,48.5520227228923,73.8654599536331
321.322668465033,-7.99013568947689,58.1986473617597,86.112555699253
321.322668465033,-7.99883972667813,74.4456420855857,87.8600971451261
426.92871731734,-8.08078005223173,48.230294283789,110.782801070762
426.92871731734,-8.08599662915643,83.0050889264171,116.204852229573
566.772753072071,-8.04643534678917,113.022102622847,171.994778892534
566.772753072071,-8.06445069982664,117.026384270757,160.560946135892
566.772753072071,-8.03385189954184,144.632591735306,186.152062774889
566.772753072071,-8.07230433353015,184.20887957362,191.079071933557
566.772753072071,-8.06046389446884,155.01373543863,183.918311038402
592.910904222765,-8.07793815674982,150.065766890993,191.10511157387
592.910904222765,-8.08950177303633,162.513380683945,190.425898031468
604.481269062367,-7.9978792530339,167.288598216444,191.494409427779
604.481269062367,0,188.876078840267,200.976406864606
604.481269062367,-6.28618525375048,195.969820541519,209.144099328628
642.456216739433,-8.00892769765721,181.757905908478,210.75996336398
890.89188075806,-6.45622617608052,321.512757080108,260.89903658611
890.89188075806,-8.02184554279762,227.659157540327,261.706299009557
890.89188075806,-8.03904699420012,255.722343770405,276.9682657589
890.89188075806,-8.05119899144925,287.32887221404,301.977633725248
898.948052508788,8.36439610111794,319.918423607859,328.61144358239
898.948052508788,-8.00851605162607,218.833990931006,295.684683123667
898.948052508788,0,247.051499426158,281.130675984264
898.948052508788,5.08652328079923,309.025288675749,274.991369615322
898.948052508788,-8.02499293774039,263.882130948512,300.98085969725
,,,
,,,
,,,
,,,
,,,
,,,
,,,
track completed at generation 17,,,
Some cars exploiting alpha by  going back and forth in wide areas,,,
