Highest,Lowest,Mean,Stdev
0.0,0.0,0.0,0.0
20.0,-10.0,0.4,4.546060565661953
30.0,0.0,5.6,9.60902353693305
30.0,-10.0,12.8,14.0
30.0,-10.0,14.0,13.228756555322953
30.0,-10.0,14.8,12.948616399703356
30.0,-10.0,15.6,12.935738607954837
30.0,-10.0,18.8,10.923979738782627
30.0,-10.0,18.8,13.638181696985855
30.0,-10.0,20.8,11.150485789118488
30.0,-10.0,17.2,15.684387141358123
30.0,-10.0,18.0,14.433756729740644
30.0,-10.0,23.2,11.445523142259598
30.0,-10.0,17.6,14.224392195567912
30.0,-10.0,15.2,14.753530650887152
30.0,-10.0,14.0,15.275252316519467
30.0,-10.0,16.8,12.819256348686272
30.0,-10.0,19.2,13.203534880225574
30.0,-10.0,21.6,10.677078252031311
30.0,-10.0,14.8,12.948616399703356
30.0,-10.0,13.6,16.041612554021285
30.0,-10.0,19.6,15.673757260678329
30.0,-10.0,14.4,14.456832294800959
30.0,-10.0,16.8,13.45362404707371
30.0,-10.0,14.4,16.093476939431078
30.0,-10.0,5.6,15.832456116050556
30.0,-10.0,10.8,15.524174696260024
30.0,-10.0,16.4,14.966629547095765
30.0,-10.0,14.8,14.177446878757825
30.0,-10.0,14.0,17.55942292142123
30.0,-10.0,14.4,16.852299546352715
30.0,-10.0,16.8,13.759844960366861
30.0,-10.0,14.4,15.56705923844749
30.0,-10.0,16.0,17.320508075688775
30.0,-10.0,19.2,13.515423288475528
30.0,-10.0,22.4,10.908712114635714
30.0,-10.0,18.0,14.142135623730951
30.0,-10.0,20.0,11.180339887498949
30.0,-10.0,16.0,15.811388300841896
30.0,-10.0,10.0,17.795130420052185
30.0,-10.0,13.6,16.802777548171413
30.0,-10.0,13.6,17.291616465790582
30.0,-10.0,16.8,15.737428845483835
30.0,-10.0,15.6,16.09347693943108
30.0,-10.0,17.2,13.69914839202301
30.0,-10.0,17.2,15.684387141358123
30.0,-10.0,7.6,15.88500340992514
30.0,-10.0,14.0,16.072751268321593
30.0,-10.0,16.4,14.966629547095765
30.0,-10.0,14.0,15.811388300841896
30.0,-10.0,18.0,12.583057392117917
30.0,-10.0,15.6,15.297058540778355
30.0,-10.0,11.2,15.89549202342182
40.0,-10.0,18.8,15.362291495737216
40.0,-10.0,8.8,15.631165450257807
40.0,-10.0,18.4,12.806248474865697
40.0,-10.0,8.8,16.41137816678823
40.0,-10.0,11.2,16.15549442140351
40.0,-10.0,8.0,15.545631755148024
40.0,-10.0,13.2,14.6401275039985
40.0,-10.0,6.4,15.513435037626794
40.0,-10.0,8.4,14.341083176199302
40.0,-10.0,10.4,16.950909513454828
40.0,-10.0,13.6,16.55294535724685
40.0,-10.0,8.4,15.459624833740307
80.0,-10.0,13.2,19.941581348194696
80.0,-10.0,12.8,20.72036035722674
80.0,-10.0,12.0,19.578900207451216
80.0,-10.0,12.8,23.720595832876263
80.0,-10.0,13.2,23.043437243605826
80.0,-10.0,18.4,26.720778431774775
80.0,-10.0,19.2,25.96792893808309
80.0,-10.0,20.4,33.10085598087558
80.0,-10.0,35.2,33.679865399572684
80.0,-10.0,29.6,34.215006454283575
80.0,-10.0,35.2,30.01666203960727
130.0,-10.0,34.8,36.75595189897821
140.0,-10.0,33.2,43.08131845707603
140.0,-10.0,37.2,44.207842441509555
170.0,-10.0,38.8,53.87640176057293
170.0,-10.0,52.4,54.71745608121781
170.0,-10.0,33.2,53.59726361174297
170.0,-10.0,62.8,58.63161831867398
170.0,0.0,42.0,58.45225972250061
170.0,-10.0,43.6,56.264257452370835
190.0,0.0,61.2,65.9747426419131
190.0,-10.0,39.6,57.55287424041769
210.0,0.0,49.2,72.6246055640465
210.0,-10.0,48.4,64.07547632805132
210.0,-10.0,41.6,59.977773661026575
220.0,-10.0,55.6,71.65193647069142
220.0,-10.0,64.8,73.54817015625429
220.0,0.0,68.8,79.964575490234
230.0,0.0,71.2,77.20751258783048
230.0,0.0,48.8,61.259012942314584
230.0,0.0,72.4,74.90438349433674
250.0,0.0,76.0,85.58621384311844
250.0,0.0,57.6,91.16285793384644
250.0,0.0,74.8,85.68936145558949
250.0,-10.0,69.6,104.58170649465103
260.0,0.0,93.6,93.93614852653903
260.0,0.0,79.6,95.19628844305504
260.0,0.0,72.4,93.50935782048768
260.0,0.0,70.8,75.93418202627852
260.0,-10.0,66.8,89.61584681293816
270.0,0.0,89.6,109.86658576048802
